"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
RUA,OLIMPIO DE SOUZA CAMPOS JUNIOR,"435",,INACIO BARBOSA,"49040840",SE,ARACAJU
RUA,JORGE DIENER,"88",ANEXO OXFORD S.A,OXFORD,"89285580",SC,SAO BENTO DO SUL
RUA,GENERAL LAURO SODRE,"250",,COMERCIARIO,"88802330",SC,CRICIUMA
RUA,PROJETADA 8B,SN,,CENTRO,"64793000",PI,CORONEL JOSE DIAS
AVENIDA,ALTO JACUI,"732",,CENTRO,"99470000",RS,NAO-ME-TOQUE
RUA,BRAZAPOLIS,"60",SALA  06,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,"07223090",SP,GUARULHOS
AVENIDA,"17",SN,QUADRAQM01                LOTE  0012,RESIDENCIAL MORUMBY,"77502000",TO,PORTO NACIONAL
AVENIDA,HUMBERTO DE ALENCAR CASTELO BRANCO,"1187",LETRA A,ASSUNCAO,"09850300",SP,SAO BERNARDO DO CAMPO
RUA,BAHIA,"178",ANEXO 1,CRUZEIRO,"89286337",SC,SAO BENTO DO SUL
RUA,ROBERTO MARTIN,"179",,CENTRO,"89295000",SC,RIO NEGRINHO
RODOVIA,DO SOL,"2655",LOJA  01                  EDIF  MELODY,PORTAL DE ANCHIETA,"29230000",ES,ANCHIETA
AVENIDA,NOSSA SENHORA DA PENHA,"595",SALA  703 TORRE I         EDIF  TIFFANY CENTER,SANTA LUCIA,"29056245",ES,VITORIA
RUA,CAPRICORNIO,"106",,PARQUE SANTANA,"06515090",SP,SANTANA DE PARNAIBA
ESTRADA,PARA O BAIRRO NOVA PATRIA,S/N,ANEXO SITIO AGUA BOA,NOVA PATRIA,"19300000",SP,PRESIDENTE BERNARDES
RUA,KINITI MORI,"201",LOTE  79,LOTEAMENTO DISTRITO INDUSTRIAL UNINORTE,"13413069",SP,PIRACICABA
AVENIDA,PROF FRANCISCO MORATO,"464",,BUTANTA,"05512000",SP,SAO PAULO
RUA,GUARARAPES,"218",ANEXO COZINHA 12,BROOKLIN PAULISTA,"04561000",SP,SAO PAULO
RODOVIA,ROD BR 101 KM 101,S/N,COND  CLIP                GALPAOG236A E G236B,CENTRO,"58322000",PB,CONDE
FAZENDA,FAZENDA LAGE,SN,QUADRAQD  QH 03           LOTE  SN,PERIMETRO URBANO,"75901970",GO,RIO VERDE
SITIO,SAO BENEDITO,SN,,BICAME,"18500000",SP,LARANJAL PAULISTA
SERVIDAO,LAJE DE PEDRA,"73",LOJA  22 E 23,ITACORUBI,"88034605",SC,FLORIANOPOLIS
AVENIDA,DO COMERCIO,"632",LOTE  21                  QUADRA8,PACHECOS,"88134852",SC,PALHOCA
AVENIDA,TRES,"611",,DISTRITO INDUSTRIAL BANDEIRINHAS,"32654806",MG,BETIM
RUA,PEDRO MUGLIA,"21",LOTE  01,AEROPORTO,"36887036",MG,MURIAE
RUA,GIL STEIN FERREIRA,"258",ANEXO PISO 1              SALA  304,CENTRO ITAJAI,"88301210",SC,ITAJAI
RUA,LORENZ  DE 1001 AO FIM  LADO IMPAR,"1501",,ENCANO,"89086430",SC,INDAIAL
AVENIDA,CONTORNO,"8539",,NEGRINHO CARRILHO,"76385106",GO,GOIANESIA
RUA,JOAO MOREIRA DE PAULA,"2601",,RIO NOVO,"62850000",CE,CASCAVEL
AVENIDA,JULIO CESAR,S/N,SALA  02 TER.CAR.AEROPORTO,VAL-DE-CAES,"66115970",PA,BELEM
PRACA,COMENDADOR JOSE DIDIER,S/N,      CICRE ROSA          BOX   41                  SALA  02,CENTRO,"55200000",PE,PESQUEIRA
RUA,HATSUEY MOTOMURA,"39",LOTE  TRAV. SAMURAI  16,SILVEIRA,"09110080",SP,SANTO ANDRE
RUA,DAS ANDORINHAS,"103",,ERICINA M PAGIOLA,"29670000",ES,IBIRACU
RUA,DOS VIANAS,"1529",,VILA BAETA NEVES,"09760510",SP,SAO BERNARDO DO CAMPO
RUA,SEBASTIAO SIMAO DE SOUZA,"639",,JARDIM SANTA FE,"19910090",SP,OURINHOS
RUA,FAGUNDES DOS REIS,"327",,CENTRO,"99010070",RS,PASSO FUNDO
